Id,Group,RiskType,Who,Stock_LIkelihood,Stock_Risk,Vaccination_Likelihood,Vaccination_Risk,Pension_Likelihood,Pension_Risk,Parked Car_Likelihood,Parked Car_Risk,Attention,PRT1,PRT2,PRT3,PRT4,PRT5,PRT6,PRT7,PRT8,PRT9,PRT10,PRT11,PRT12,PRT13,PRT14,PRT15,PRT16,PRT17,PRT18,PRT19,PRT20,PRT21,PRT22,PRT23,PRT24,PRT25,DOS1,DOS2,DOS3,DOS4,DOS5,DOS6,DOS7,DOS8,DOS9,DOS10,DOS11,DOS12,DOS13,DOS14,DOS15,DOS16,DOS17,DOS18,DOS19,DOS20,DOS21,DOS22,DOS23,DOS24,DOS25,DOS26,DOS27,DOS28,DOS29,DOS30,Gender,Age,Politic,EDU,Active,Passive
S1,1,Active,Self,5,5,5,6,6,7,7,6,6897,6,7,5,6,7,5,5,6,7,5,5,6,6,7,5,5,6,6,4,5,7,6,7,6,5,5,7,6,6,5,5,7,5,6,6,5,7,6,5,5,5,7,6,6,6,7,6,5,6,7,7,5,5,6,6,2,30,2,5,4,5
S2,1,Active,Self,6,6,6,6,6,6,6,6,6897,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,35,1,5,6,6
S3,1,Active,Self,7,7,7,7,7,7,7,7,6897,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,1,24,2,5,7,7
S4,1,Active,Self,6,5,7,6,5,6,6,5,6897,6,7,6,7,7,6,7,6,7,6,7,6,7,6,7,6,7,7,6,7,6,7,6,7,6,7,6,7,6,7,7,6,7,6,7,7,6,7,6,7,7,6,7,6,7,7,6,7,6,7,7,6,7,6,7,1,32,1,8,7,6
S5,1,Active,Self,6,4,4,5,5,5,4,5,6897,5,4,6,5,5,3,5,3,5,3,5,4,4,5,3,5,4,5,2,4,5,3,5,3,5,5,3,5,6,4,6,4,5,3,6,5,3,6,5,6,6,4,6,5,6,6,5,5,6,5,5,7,6,4,6,2,36,1,8,6,5
S6,1,Active,Self,6,7,6,6,6,6,6,6,6897,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,2,35,1,2,5,5
S7,1,Active,Self,6,6,6,6,6,6,6,6,6897,6,7,6,7,6,7,6,5,6,6,6,5,6,6,7,6,7,6,7,6,5,6,6,7,6,6,7,6,6,7,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6,7,6,7,6,7,1,35,2,6,6,6
S8,1,Active,Self,6,5,5,6,6,6,6,5,6897,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,6,7,6,7,6,6,7,6,6,5,6,7,6,6,7,5,6,5,6,5,7,5,6,6,7,5,6,7,6,7,6,7,6,6,5,6,7,6,1,48,1,6,6,5
S9,1,Active,Self,7,5,6,4,7,6,6,4,6897,5,6,4,5,5,7,4,5,5,6,5,5,7,6,4,4,6,6,6,4,6,6,5,6,6,4,6,6,7,6,5,6,7,5,6,3,6,4,5,7,5,6,6,5,7,7,6,5,2,4,3,5,4,6,6,2,24,2,6,7,5
S10,1,Active,Self,6,7,6,7,6,7,6,7,6897,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,6,7,6,7,6,6,7,6,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6,1,35,1,6,6,6
